OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,BLDGID,MEAN_AVGHT,Shape_Leng,donut,Field1,OID_,Time_UTC,Lat,Lon,Temp_K_,DewPoint_K_,RelHumid,Pressure,RadDir_Wm_2_,RadDiff_Wm_2_,LWRad,SWNorm,SWRad,WindDir_from_,WindSpeed_ms_1_,SnowDepth_cm_,x,coord,coord_X,coord_Y,T_F,BUFF_DIST,ORIG_FID,ORIG_FID_1,Shape_Area_1,Shape_Length,Shape_Area
44,1,43,44,64.000000000000000,3.660000000000000,0.000385687585221,0,291,291,2015-01-01_00:00:00,41.869514000000002,-87.636688000000007,268.034576000000020,254.812332000000000,33.888804999999998,100063.718750000000000,0,0,182.013397000000000,0,0,241.978072999999990,8.031981999999999,0,NA,41.869514 -87.636688,-87.636688000000007,41.869514000000002,22.792236800000001,45.000000000000000,291,291,0.000000878421899,0.003788744000076,0.000000008861544
45,2,44,45,68.000000000000000,12.699999999999999,0.001694140995870,0,299,299,2015-01-01_00:00:00,41.869568000000001,-87.627562999999995,268.079132000000020,254.840790000000000,33.808250000000001,100115.343750000000000,0,0,181.895889000000010,0,0,240.181243999999990,7.636895000000000,0,NA,41.869568 -87.627563;41.869568 -87.626404,-87.627562999999995,41.869568000000001,22.872437600000001,45.000000000000000,299,299,0.000000878423520,0.003788748000034,0.000000147571102
46,6,45,46,70.000000000000000,19.579999999999998,0.005857764953190,0,245,245,2015-01-01_00:00:00,41.867798000000001,-87.638947000000002,268.016449000000020,254.805725000000000,33.946415000000002,100051.554688000000000,0,0,182.027069000000010,0,0,242.234680000000000,8.097769000000000,0,NA,41.867798 -87.638947;41.867809 -87.637817;41.868656 -87.638947;41.868671 -87.637817;41.869495 -87.638947;41.869514 -87.637817,-87.638947000000002,41.867798000000001,22.759608200000098,45.000000000000000,245,245,0.000000878399211,0.003788687999986,0.000001319217221
47,1,46,47,71.000000000000000,23.840000000000000,0.001481615450680,0,301,301,2015-01-01_00:00:00,41.869579000000002,-87.625275000000002,268.091675000000010,254.848830999999990,33.785812000000000,100129.843750000000000,0,0,181.860030999999990,0,0,239.756989000000000,7.544240000000000,0,NA,41.869579 -87.625275,-87.625275000000002,41.869579000000002,22.895015000000001,45.000000000000000,301,301,0.000000878423519,0.003788747999920,0.000000127602629
48,1,47,48,72.000000000000000,7.370000000000000,0.000473531256826,0,299,299,2015-01-01_00:00:00,41.869568000000001,-87.627562999999995,268.079132000000020,254.840790000000000,33.808250000000001,100115.343750000000000,0,0,181.895889000000010,0,0,240.181243999999990,7.636895000000000,0,NA,41.869568 -87.627563,-87.627562999999995,41.869568000000001,22.872437600000001,45.000000000000000,299,299,0.000000878423520,0.003788748000034,0.000000013401256
49,2,48,49,74.000000000000000,24.989999999999998,0.001953153929680,0,301,301,2015-01-01_00:00:00,41.869579000000002,-87.625275000000002,268.091675000000010,254.848830999999990,33.785812000000000,100129.843750000000000,0,0,181.860030999999990,0,0,239.756989000000000,7.544240000000000,0,NA,41.869579 -87.625275;41.869583 -87.624146,-87.625275000000002,41.869579000000002,22.895015000000001,45.000000000000000,301,301,0.000000878423519,0.003788747999920,0.000000169404694
50,2,49,50,75.000000000000000,5.340000000000000,0.003587022283680,0,297,297,2015-01-01_00:00:00,41.869560000000000,-87.629822000000004,268.068756000000010,254.833862000000010,33.825527000000001,100102.148438000000000,0,0,181.927077999999990,0,0,240.597762999999990,7.726635000000000,0,NA,41.86956 -87.629822;41.869564 -87.628693,-87.629822000000004,41.869560000000000,22.853760800000000,45.000000000000000,297,297,0.000000878423520,0.003788748000034,0.000000172305343
51,1,50,51,76.000000000000000,5.210000000000000,0.003048196565050,0,297,297,2015-01-01_00:00:00,41.869560000000000,-87.629822000000004,268.068756000000010,254.833862000000010,33.825527000000001,100102.148438000000000,0,0,181.927077999999990,0,0,240.597762999999990,7.726635000000000,0,NA,41.86956 -87.629822,-87.629822000000004,41.869560000000000,22.853760800000000,45.000000000000000,297,297,0.000000878423520,0.003788748000034,0.000000152157960
52,1,51,52,77.000000000000000,7.440000000000000,0.000481822552898,0,299,299,2015-01-01_00:00:00,41.869568000000001,-87.627562999999995,268.079132000000020,254.840790000000000,33.808250000000001,100115.343750000000000,0,0,181.895889000000010,0,0,240.181243999999990,7.636895000000000,0,NA,41.869568 -87.627563,-87.627562999999995,41.869568000000001,22.872437600000001,45.000000000000000,299,299,0.000000878423520,0.003788748000034,0.000000013960141
53,2,52,53,78.000000000000000,15.600000000000000,0.002593371541400,0,298,298,2015-01-01_00:00:00,41.869563999999997,-87.628692999999998,268.073424999999990,254.837051000000000,33.818114999999999,100108.539062000000000,0,0,181.908737000000000,0,0,240.389343000000000,7.683568000000000,0,NA,41.869564 -87.628693;41.869568 -87.627563,-87.628692999999998,41.869563999999997,22.862164999999901,45.000000000000000,298,298,0.000000878423520,0.003788748000034,0.000000216251673
54,7,53,54,79.000000000000000,22.160000000000000,0.011546216598400,0,250,250,2015-01-01_00:00:00,41.867832000000000,-87.633240000000001,268.046477999999980,254.824677000000010,33.890987000000003,100085.453125000000000,0,0,181.961609000000010,0,0,241.049941999999990,7.838822000000000,0,NA,41.867832 -87.63324;41.867847 -87.632111;41.868679 -87.63324;41.86869 -87.632111;41.86953 -87.63324;41.869537 -87.632111;41.870377 -87.63327,-87.633240000000001,41.867832000000000,22.813660399999900,45.000000000000000,250,250,0.000000878399211,0.003788687999986,0.000002016150311
55,2,54,55,82.000000000000000,52.070000000000000,0.001217734918520,0,320,320,2015-01-01_00:00:00,41.870407000000000,-87.628722999999994,268.076752000000000,254.836563000000010,33.799072000000002,100107.515625000000000,0,0,181.915955000000000,0,0,240.517288000000010,7.696104000000000,0,NA,41.870407 -87.628723;41.870419 -87.627563,-87.628722999999994,41.870407000000000,22.868153599999999,45.000000000000000,320,320,0.000000878434864,0.003788775999965,0.000000080176840
56,2,55,56,84.000000000000000,5.080000000000000,0.001540653052850,0,299,299,2015-01-01_00:00:00,41.869568000000001,-87.627562999999995,268.079132000000020,254.840790000000000,33.808250000000001,100115.343750000000000,0,0,181.895889000000010,0,0,240.181243999999990,7.636895000000000,0,NA,41.869568 -87.627563;41.870419 -87.627563,-87.627562999999995,41.869568000000001,22.872437600000001,45.000000000000000,299,299,0.000000878423520,0.003788748000034,0.000000128827503
57,4,56,57,85.000000000000000,5.700000000000000,0.003957899814660,0,297,297,2015-01-01_00:00:00,41.869560000000000,-87.629822000000004,268.068756000000010,254.833862000000010,33.825527000000001,100102.148438000000000,0,0,181.927077999999990,0,0,240.597762999999990,7.726635000000000,0,NA,41.86956 -87.629822;41.869564 -87.628693;41.870399 -87.629852;41.870407 -87.628723,-87.629822000000004,41.869560000000000,22.853760800000000,45.000000000000000,297,297,0.000000878423520,0.003788748000034,0.000000149671299
